1	0	0
1	0	1
2	0	1
3	0	1
4	0	1
5	1	2
6	1	2
7	2	2
8	2	2
9	3	2
10	3	2
11	4	2
12	4	2
13	5	3
14	6	3
15	7	3
16	8	3
17	9	3
18	10	3
19	11	3
20	12	3
21	13	4
22	13	4
23	14	4
24	14	4
25	15	4
26	15	4
27	16	4
28	16	4
29	17	4
30	17	4
31	18	4
32	18	4
33	19	4
34	19	4
35	20	4
36	20	4
37	21	5
38	22	5
39	22	5
40	22	5
41	23	5
42	24	5
43	24	5
44	24	5
45	25	5
46	26	5
47	26	5
48	26	5
49	27	5
50	28	5
51	28	5
52	28	5
53	29	5
54	29	5
55	29	5
56	30	5
57	31	5
58	31	5
59	31	5
60	32	5
61	33	5
62	33	5
63	33	5
64	34	5
65	35	5
66	35	5
67	35	5
68	36	5
69	37	6
70	37	6
71	38	6
72	38	6
73	39	6
74	39	6
75	40	6
76	40	6
77	41	6
78	41	6
79	42	6
80	42	6
81	43	6
82	43	6
83	44	6
84	44	6
85	45	6
86	45	6
87	46	6
88	46	6
89	47	6
90	47	6
91	48	6
92	48	6
93	49	6
94	49	6
